what is the full name of shinchan?,suzuki Nohara,Shin Chan Nohara,Shinnosuke Nohara
Where do the shinchan and his family live?,America,Korea,Japan
What is the name of his pet dog?,Sheero,puppy,michan
Where Shinchan's grandparents live?,Town,Village,roadside
What is Shinchan's sister name?,Hema walini,Himawari Nohara,Daisy
where does the shinchan live in japan?,Hokaido,Bejing,Tokyo
Who is Shinchan's teacher among these options?,Yoshinaga maam,Matsuzaka maam,Principal sir
What does Shinchan love to eat?,Dora cakes,Choco chips,Prawns
Which is Shinchan's favourite cartoon show?,Doraemon,Super Fairies,Action Kamen
Who is Shinchan's best friend?,Wochan,Kazama,Masau
what is the name of Shinchan's father?,Harry,kazama,Bo
What colour T-shirt does Shinchan usually wear?,Green,Red,Yellow
Whom does Shinchan have a crush on?,Nanako,Mitsy,Yoshinaga
What is the shin chan's gang name?,Kolta mary,Raging bull,Kasukabe defence group
Who are yoshirin and michi?,Shinchan's neighbours,Shinchan's cousins,Shinchan's teachers
What is the name of Shinchan's mother?,Merry,Mitsy,Kachin
Why did shinchan's mother beat him?,because shin chan beat his sister,because his mother hate him,because shinchan is very nauty
Shinchan is how much old?,5,4,6
What vegetable does Shincan Hates the most?,Spinach,Only beans,Capsicum and peas